train_acc,train_loss,val_acc,val_loss
0.007541079812206573,5.3004394,0.009114583333333334,5.2770367
0.01386443661971831,5.255757,0.014154128086419753,5.2344594
0.024867957746478875,5.2129292,0.028886959876543206,5.1945367
0.05039612676056338,5.163076,0.047526041666666664,5.1591487
0.0721830985915493,5.1122737,0.08470775462962964,5.0908985
0.12363556338028169,5.0518913,0.10667438271604938,5.034693
0.1604900234741784,4.983712,0.1410108024691358,4.9579406
0.19840082159624411,4.90705,0.17324942129629628,4.8983216
0.24455692488262912,4.814765,0.19579475308641978,4.7941585
0.2706866197183099,4.716039,0.24949363425925927,4.6638694
0.3231514084507042,4.60831,0.2629967206790123,4.5510077
0.35267018779342724,4.4890027,0.2903404706790123,4.421222
0.38463908450704226,4.3686385,0.33193479938271603,4.3351045
0.4171508215962441,4.240451,0.3289207175925926,4.1673875
0.43711854460093896,4.1166873,0.3704185956790123,3.9974964
0.4788585680751174,3.9923267,0.39995659722222215,3.8643062
0.4908303990610329,3.8651888,0.4119164737654321,3.7308273
0.5161384976525822,3.746879,0.42812017746913583,3.624016
0.5396273474178404,3.6244764,0.44179205246913583,3.5058148
0.5439113849765258,3.5149078,0.4722945601851852,3.3436673
0.5754694835680751,3.399948,0.4870273919753087,3.2287319
0.5990023474178404,3.2910175,0.5120081018518519,3.1313035
0.6042840375586854,3.1956878,0.5099826388888888,3.051623
0.6196302816901408,3.0964205,0.5211226851851852,2.9714825
0.6241784037558686,3.016073,0.5448013117283951,2.8316975
0.6489730046948357,2.9212816,0.5658034336419754,2.767171
0.6630428403755869,2.8394449,0.5740981867283951,2.6976864
0.668661971830986,2.7719226,0.574266975308642,2.6574786
0.678169014084507,2.7006862,0.5856481481481481,2.614067
0.670393192488263,2.6494896,0.5897231867283951,2.4952874
0.6948063380281689,2.5734525,0.6148726851851852,2.4543056
0.7060152582159624,2.5153847,0.6262538580246914,2.4178658
0.7034917840375586,2.4699183,0.6251205632716049,2.3973176
0.7184419014084507,2.419851,0.626904899691358,2.3833697
0.7039025821596244,2.3910308,0.6416377314814815,2.289466
0.7315580985915493,2.3279407,0.6566116898148148,2.2528994
0.7377053990610328,2.2870908,0.6610001929012346,2.2312915
0.734081572769953,2.255256,0.6579137731481481,2.225686
0.7461707746478873,2.2205842,0.664014274691358,2.2311707
0.7396126760563381,2.2061627,0.6694637345679012,2.1431391
0.7581866197183098,2.1511562,0.6793981481481483,2.1177537
0.7667546948356807,2.1224387,0.6863908179012346,2.102846
0.7604900234741784,2.0995045,0.6881028163580246,2.1098068
0.7715962441314553,2.073922,0.689404899691358,2.1369
