epoch,train_acc,train_loss,val_acc,val_loss
0.0,0.009903169014084508,6.56657,0.010657793209876544,5.848877
1.0,0.01920481220657277,5.677575,0.01871141975308642,5.6014137
2.0,0.028609154929577465,5.447995,0.029947916666666668,5.3958983
3.0,0.05243544600938967,5.179835,0.037760416666666664,5.1463184
4.0,0.08720657276995304,4.8647346,0.06671971450617284,4.863544
4.0,0.13568075117370892,4.568025,0.09772858796296297,4.7196193
5.0,0.17833039906103287,4.3717704,0.14467592592592593,4.424148
6.0,0.25305164319248824,4.003843,0.15868537808641975,4.284904
7.0,0.3021713615023474,3.8030727,0.20621141975308643,4.084832
8.0,0.36786971830985915,3.5279508,0.25884934413580246,3.8745136
8.0,0.43857100938967136,3.2568932,0.2918113425925926,3.7447126
9.0,0.4663732394366197,3.1358066,0.32858314043209874,3.5581486
10.0,0.5366343896713615,2.8799915,0.32045717592592593,3.588597
11.0,0.5671508215962441,2.779619,0.35836226851851855,3.4174623
12.0,0.6165492957746479,2.5919924,0.34989872685185186,3.4576988
12.0,0.6488116197183098,2.4460294,0.4133873456790123,3.2234433
13.0,0.6872212441314554,2.3242767,0.43583622685185186,3.0964682
14.0,0.7196302816901409,2.2055676,0.4637586805555555,3.0754807
15.0,0.7446009389671362,2.0981803,0.4445408950617284,3.1155465
16.0,0.7205985915492958,2.1735191,0.43453414351851855,3.1000726
16.0,0.8056778169014085,1.89483,0.4680748456790123,2.9856575
17.0,0.8147007042253521,1.8453838,0.4674961419753087,2.9383917
18.0,0.8465522300469484,1.7610567,0.46896701388888884,3.031438
19.0,0.8520539906103286,1.7212957,0.4816502700617284,2.9282255
20.0,0.8683245305164319,1.6636255,0.4955632716049383,2.8843
20.0,0.9055897887323944,1.5418543,0.4674238040123457,2.955551
21.0,0.9005281690140845,1.5579774,0.4757185570987654,2.998805
22.0,0.894087441314554,1.5765258,0.43185763888888884,3.2071674
23.0,0.9066901408450704,1.555917,0.5027247299382717,2.8554308
24.0,0.9384829812206572,1.4180453,0.525342399691358,2.8124123
24.0,0.9634683098591549,1.3359207,0.5086805555555555,2.860154
25.0,0.9669894366197183,1.3266755,0.5188319830246914,2.8209283
26.0,0.9768926056338029,1.2874031,0.5330102237654321,2.836734
27.0,0.9746919014084507,1.3040242,0.4836033950617284,2.9924777
28.0,0.9730927230046948,1.2912276,0.5198929398148148,2.804293
28.0,0.9909771126760564,1.2112274,0.5225935570987654,2.8710225
29.0,0.9905369718309859,1.2052115,0.5348668981481481,2.827119
30.0,0.9940580985915493,1.1941881,0.5412326388888888,2.830435
31.0,0.9953785211267606,1.1771237,0.5179398148148148,2.9130497
32.0,0.9929577464788732,1.1890813,0.5338059413580246,2.8257968
32.0,0.9986795774647887,1.1505451,0.5249565972222222,2.895735
33.0,0.9986795774647887,1.1462703,0.5165653935185185,2.8674362
34.0,0.9984595070422535,1.1414773,0.5360243055555555,2.8373606
35.0,0.9986795774647887,1.1313578,0.5259934413580246,2.9453719
36.0,0.997080399061033,1.1418364,0.5368200231481481,2.8653862
36.0,0.9995598591549296,1.1201597,0.5325279706790124,2.9374952
37.0,0.9997799295774648,1.1159762,0.5261622299382717,2.8996048
38.0,0.9997799295774648,1.1140016,0.5447289737654321,2.868269
39.0,0.9995598591549296,1.1081434,0.5188319830246914,2.9864225
40.0,0.998899647887324,1.1175013,0.5365788966049383,2.8810558
40.0,0.9995598591549296,1.1019505,0.5335889274691358,2.974413
41.0,1.0,1.0987821,0.5387731481481481,2.9235954
42.0,1.0,1.0976336,0.5479841820987654,2.9152489
43.0,1.0,1.0942459,0.5255835262345679,3.018651
44.0,0.9995598591549296,1.1022266,0.5378809799382717,2.89579
44.0,0.9997799295774648,1.0901756,0.5335889274691358,3.0033455
45.0,1.0,1.0877876,0.5394241898148148,2.948478
46.0,1.0,1.0870379,0.546923225308642,2.9541247
47.0,1.0,1.0847919,0.5301408179012346,3.0393486
48.0,0.9997799295774648,1.0918437,0.5443913966049383,2.913122
